solarYMD,lunarYMD
1694-11-11,1694-09-24
1694-11-12,1694-09-25
1694-11-13,1694-09-26
1694-11-14,1694-09-27
1694-11-15,1694-09-28
1694-11-16,1694-09-29
1694-11-17,1694-10-01
1694-11-18,1694-10-02
1694-11-19,1694-10-03
1694-11-20,1694-10-04
1694-11-21,1694-10-05
1694-11-22,1694-10-06
1694-11-23,1694-10-07
1694-11-24,1694-10-08
1694-11-25,1694-10-09
1694-11-26,1694-10-10
1694-11-27,1694-10-11
1694-11-28,1694-10-12
1694-11-29,1694-10-13
1694-11-30,1694-10-14
1694-12-01,1694-10-15
1694-12-02,1694-10-16
1694-12-03,1694-10-17
1694-12-04,1694-10-18
1694-12-05,1694-10-19
1694-12-06,1694-10-20
1694-12-07,1694-10-21
1694-12-08,1694-10-22
1694-12-09,1694-10-23
1694-12-10,1694-10-24
1694-12-11,1694-10-25
1694-12-12,1694-10-26
1694-12-13,1694-10-27
1694-12-14,1694-10-28
1694-12-15,1694-10-29
1694-12-16,1694-10-30
1694-12-17,1694-11-01
1694-12-18,1694-11-02
1694-12-19,1694-11-03
1694-12-20,1694-11-04
1694-12-21,1694-11-05
1694-12-22,1694-11-06
1694-12-23,1694-11-07
1694-12-24,1694-11-08
1694-12-25,1694-11-09
1694-12-26,1694-11-10
1694-12-27,1694-11-11
1694-12-28,1694-11-12
1694-12-29,1694-11-13
1694-12-30,1694-11-14
1694-12-31,1694-11-15
1695-01-01,1694-11-16
1695-01-02,1694-11-17
1695-01-03,1694-11-18
1695-01-04,1694-11-19
1695-01-05,1694-11-20
1695-01-06,1694-11-21
1695-01-07,1694-11-22
1695-01-08,1694-11-23
1695-01-09,1694-11-24
1695-01-10,1694-11-25
1695-01-11,1694-11-26
1695-01-12,1694-11-27
1695-01-13,1694-11-28
1695-01-14,1694-11-29
1695-01-15,1694-12-01
1695-01-16,1694-12-02
1695-01-17,1694-12-03
1695-01-18,1694-12-04
1695-01-19,1694-12-05
1695-01-20,1694-12-06
1695-01-21,1694-12-07
1695-01-22,1694-12-08
1695-01-23,1694-12-09
1695-01-24,1694-12-10
1695-01-25,1694-12-11
1695-01-26,1694-12-12
1695-01-27,1694-12-13
1695-01-28,1694-12-14
1695-01-29,1694-12-15
1695-01-30,1694-12-16
1695-01-31,1694-12-17
1695-02-01,1694-12-18
1695-02-02,1694-12-19
1695-02-03,1694-12-20
1695-02-04,1694-12-21
1695-02-05,1694-12-22
1695-02-06,1694-12-23
1695-02-07,1694-12-24
1695-02-08,1694-12-25
1695-02-09,1694-12-26
1695-02-10,1694-12-27
1695-02-11,1694-12-28
1695-02-12,1694-12-29
1695-02-13,1695-01-01
1695-02-14,1695-01-02
1695-02-15,1695-01-03
1695-02-16,1695-01-04
1695-02-17,1695-01-05
1695-02-18,1695-01-06
1695-02-19,1695-01-07
1695-02-20,1695-01-08
1695-02-21,1695-01-09
1695-02-22,1695-01-10
1695-02-23,1695-01-11
1695-02-24,1695-01-12
1695-02-25,1695-01-13
1695-02-26,1695-01-14
1695-02-27,1695-01-15
1695-02-28,1695-01-16
1695-03-01,1695-01-17
1695-03-02,1695-01-18
1695-03-03,1695-01-19
1695-03-04,1695-01-20
1695-03-05,1695-01-21
1695-03-06,1695-01-22
1695-03-07,1695-01-23
1695-03-08,1695-01-24
1695-03-09,1695-01-25
1695-03-10,1695-01-26
1695-03-11,1695-01-27
1695-03-12,1695-01-28
1695-03-13,1695-01-29
1695-03-14,1695-01-30
1695-03-15,1695-02-01
1695-03-16,1695-02-02
1695-03-17,1695-02-03
1695-03-18,1695-02-04
1695-03-19,1695-02-05
1695-03-20,1695-02-06
1695-03-21,1695-02-07
1695-03-22,1695-02-08
1695-03-23,1695-02-09
1695-03-24,1695-02-10
1695-03-25,1695-02-11
1695-03-26,1695-02-12
1695-03-27,1695-02-13
1695-03-28,1695-02-14
1695-03-29,1695-02-15
1695-03-30,1695-02-16
1695-03-31,1695-02-17
1695-04-01,1695-02-18
1695-04-02,1695-02-19
1695-04-03,1695-02-20
1695-04-04,1695-02-21
1695-04-05,1695-02-22
1695-04-06,1695-02-23
1695-04-07,1695-02-24
1695-04-08,1695-02-25
1695-04-09,1695-02-26
1695-04-10,1695-02-27
1695-04-11,1695-02-28
1695-04-12,1695-02-29
1695-04-13,1695-03-01
1695-04-14,1695-03-02
1695-04-15,1695-03-03
1695-04-16,1695-03-04
1695-04-17,1695-03-05
1695-04-18,1695-03-06
1695-04-19,1695-03-07
1695-04-20,1695-03-08
1695-04-21,1695-03-09
1695-04-22,1695-03-10
1695-04-23,1695-03-11
1695-04-24,1695-03-12
1695-04-25,1695-03-13
1695-04-26,1695-03-14
1695-04-27,1695-03-15
1695-04-28,1695-03-16
1695-04-29,1695-03-17
1695-04-30,1695-03-18
1695-05-01,1695-03-19
1695-05-02,1695-03-20
1695-05-03,1695-03-21
1695-05-04,1695-03-22
1695-05-05,1695-03-23
1695-05-06,1695-03-24
1695-05-07,1695-03-25
1695-05-08,1695-03-26
1695-05-09,1695-03-27
1695-05-10,1695-03-28
1695-05-11,1695-03-29
1695-05-12,1695-03-30
1695-05-13,1695-04-01
1695-05-14,1695-04-02
1695-05-15,1695-04-03
1695-05-16,1695-04-04
1695-05-17,1695-04-05
1695-05-18,1695-04-06
1695-05-19,1695-04-07
1695-05-20,1695-04-08
1695-05-21,1695-04-09
1695-05-22,1695-04-10
1695-05-23,1695-04-11
1695-05-24,1695-04-12
1695-05-25,1695-04-13
1695-05-26,1695-04-14
1695-05-27,1695-04-15
1695-05-28,1695-04-16
1695-05-29,1695-04-17
1695-05-30,1695-04-18
1695-05-31,1695-04-19
1695-06-01,1695-04-20
1695-06-02,1695-04-21
1695-06-03,1695-04-22
1695-06-04,1695-04-23
1695-06-05,1695-04-24
1695-06-06,1695-04-25
1695-06-07,1695-04-26
1695-06-08,1695-04-27
1695-06-09,1695-04-28
1695-06-10,1695-04-29
1695-06-11,1695-04-30
1695-06-12,1695-05-01
1695-06-13,1695-05-02
1695-06-14,1695-05-03
1695-06-15,1695-05-04
1695-06-16,1695-05-05
1695-06-17,1695-05-06
1695-06-18,1695-05-07
1695-06-19,1695-05-08
1695-06-20,1695-05-09
1695-06-21,1695-05-10
1695-06-22,1695-05-11
1695-06-23,1695-05-12
1695-06-24,1695-05-13
1695-06-25,1695-05-14
1695-06-26,1695-05-15
1695-06-27,1695-05-16
1695-06-28,1695-05-17
1695-06-29,1695-05-18
1695-06-30,1695-05-19
1695-07-01,1695-05-20
1695-07-02,1695-05-21
1695-07-03,1695-05-22
1695-07-04,1695-05-23
1695-07-05,1695-05-24
1695-07-06,1695-05-25
1695-07-07,1695-05-26
1695-07-08,1695-05-27
1695-07-09,1695-05-28
1695-07-10,1695-05-29
1695-07-11,1695-06-01
1695-07-12,1695-06-02
1695-07-13,1695-06-03
1695-07-14,1695-06-04
1695-07-15,1695-06-05
1695-07-16,1695-06-06
1695-07-17,1695-06-07
1695-07-18,1695-06-08
1695-07-19,1695-06-09
1695-07-20,1695-06-10
1695-07-21,1695-06-11
1695-07-22,1695-06-12
1695-07-23,1695-06-13
1695-07-24,1695-06-14
1695-07-25,1695-06-15
1695-07-26,1695-06-16
1695-07-27,1695-06-17
1695-07-28,1695-06-18
1695-07-29,1695-06-19
1695-07-30,1695-06-20
1695-07-31,1695-06-21
1695-08-01,1695-06-22
1695-08-02,1695-06-23
1695-08-03,1695-06-24
1695-08-04,1695-06-25
1695-08-05,1695-06-26
1695-08-06,1695-06-27
1695-08-07,1695-06-28
1695-08-08,1695-06-29
1695-08-09,1695-06-30
1695-08-10,1695-07-01
1695-08-11,1695-07-02
1695-08-12,1695-07-03
1695-08-13,1695-07-04
1695-08-14,1695-07-05
1695-08-15,1695-07-06
1695-08-16,1695-07-07
1695-08-17,1695-07-08
1695-08-18,1695-07-09
1695-08-19,1695-07-10
1695-08-20,1695-07-11
1695-08-21,1695-07-12
1695-08-22,1695-07-13
1695-08-23,1695-07-14
1695-08-24,1695-07-15
1695-08-25,1695-07-16
1695-08-26,1695-07-17
1695-08-27,1695-07-18
1695-08-28,1695-07-19
1695-08-29,1695-07-20
1695-08-30,1695-07-21
1695-08-31,1695-07-22
1695-09-01,1695-07-23
1695-09-02,1695-07-24
1695-09-03,1695-07-25
1695-09-04,1695-07-26
1695-09-05,1695-07-27
1695-09-06,1695-07-28
1695-09-07,1695-07-29
1695-09-08,1695-08-01
1695-09-09,1695-08-02
1695-09-10,1695-08-03
1695-09-11,1695-08-04
1695-09-12,1695-08-05
1695-09-13,1695-08-06
1695-09-14,1695-08-07
1695-09-15,1695-08-08
1695-09-16,1695-08-09
1695-09-17,1695-08-10
1695-09-18,1695-08-11
1695-09-19,1695-08-12
1695-09-20,1695-08-13
1695-09-21,1695-08-14
1695-09-22,1695-08-15
1695-09-23,1695-08-16
1695-09-24,1695-08-17
1695-09-25,1695-08-18
1695-09-26,1695-08-19
1695-09-27,1695-08-20
1695-09-28,1695-08-21
1695-09-29,1695-08-22
1695-09-30,1695-08-23
1695-10-01,1695-08-24
1695-10-02,1695-08-25
1695-10-03,1695-08-26
1695-10-04,1695-08-27
1695-10-05,1695-08-28
1695-10-06,1695-08-29
1695-10-07,1695-08-30
1695-10-08,1695-09-01
1695-10-09,1695-09-02
1695-10-10,1695-09-03
1695-10-11,1695-09-04
1695-10-12,1695-09-05
1695-10-13,1695-09-06
1695-10-14,1695-09-07
1695-10-15,1695-09-08
1695-10-16,1695-09-09
1695-10-17,1695-09-10
1695-10-18,1695-09-11
1695-10-19,1695-09-12
1695-10-20,1695-09-13
1695-10-21,1695-09-14
1695-10-22,1695-09-15
1695-10-23,1695-09-16
1695-10-24,1695-09-17
1695-10-25,1695-09-18
1695-10-26,1695-09-19
1695-10-27,1695-09-20
1695-10-28,1695-09-21
1695-10-29,1695-09-22
1695-10-30,1695-09-23
1695-10-31,1695-09-24
1695-11-01,1695-09-25
1695-11-02,1695-09-26
1695-11-03,1695-09-27
1695-11-04,1695-09-28
1695-11-05,1695-09-29
1695-11-06,1695-09-30
1695-11-07,1695-10-01
1695-11-08,1695-10-02
1695-11-09,1695-10-03
1695-11-10,1695-10-04
1695-11-11,1695-10-05
1695-11-12,1695-10-06
1695-11-13,1695-10-07
1695-11-14,1695-10-08
1695-11-15,1695-10-09
1695-11-16,1695-10-10
1695-11-17,1695-10-11
1695-11-18,1695-10-12
1695-11-19,1695-10-13
1695-11-20,1695-10-14
1695-11-21,1695-10-15
1695-11-22,1695-10-16
1695-11-23,1695-10-17
1695-11-24,1695-10-18
1695-11-25,1695-10-19
1695-11-26,1695-10-20
1695-11-27,1695-10-21
1695-11-28,1695-10-22
1695-11-29,1695-10-23
1695-11-30,1695-10-24
1695-12-01,1695-10-25
1695-12-02,1695-10-26
1695-12-03,1695-10-27
1695-12-04,1695-10-28
1695-12-05,1695-10-29
1695-12-06,1695-11-01
1695-12-07,1695-11-02
1695-12-08,1695-11-03
1695-12-09,1695-11-04
1695-12-10,1695-11-05
1695-12-11,1695-11-06
1695-12-12,1695-11-07
1695-12-13,1695-11-08
1695-12-14,1695-11-09
1695-12-15,1695-11-10
1695-12-16,1695-11-11
1695-12-17,1695-11-12
1695-12-18,1695-11-13
1695-12-19,1695-11-14
1695-12-20,1695-11-15
1695-12-21,1695-11-16
1695-12-22,1695-11-17
1695-12-23,1695-11-18
1695-12-24,1695-11-19
1695-12-25,1695-11-20
1695-12-26,1695-11-21
1695-12-27,1695-11-22
1695-12-28,1695-11-23
1695-12-29,1695-11-24
1695-12-30,1695-11-25
1695-12-31,1695-11-26
1696-01-01,1695-11-27
1696-01-02,1695-11-28
1696-01-03,1695-11-29
1696-01-04,1695-11-30
1696-01-05,1695-12-01
1696-01-06,1695-12-02
1696-01-07,1695-12-03
1696-01-08,1695-12-04
1696-01-09,1695-12-05
1696-01-10,1695-12-06
1696-01-11,1695-12-07
1696-01-12,1695-12-08
1696-01-13,1695-12-09
1696-01-14,1695-12-10
1696-01-15,1695-12-11
1696-01-16,1695-12-12
1696-01-17,1695-12-13
1696-01-18,1695-12-14
1696-01-19,1695-12-15
1696-01-20,1695-12-16
1696-01-21,1695-12-17
1696-01-22,1695-12-18
1696-01-23,1695-12-19
1696-01-24,1695-12-20
1696-01-25,1695-12-21
1696-01-26,1695-12-22
1696-01-27,1695-12-23
1696-01-28,1695-12-24
1696-01-29,1695-12-25
1696-01-30,1695-12-26
1696-01-31,1695-12-27
1696-02-01,1695-12-28
1696-02-02,1695-12-29
1696-02-03,1696-01-01
1696-02-04,1696-01-02
1696-02-05,1696-01-03
1696-02-06,1696-01-04
1696-02-07,1696-01-05
1696-02-08,1696-01-06
1696-02-09,1696-01-07
1696-02-10,1696-01-08
1696-02-11,1696-01-09
1696-02-12,1696-01-10
1696-02-13,1696-01-11
1696-02-14,1696-01-12
1696-02-15,1696-01-13
1696-02-16,1696-01-14
1696-02-17,1696-01-15
1696-02-18,1696-01-16
1696-02-19,1696-01-17
1696-02-20,1696-01-18
1696-02-21,1696-01-19
1696-02-22,1696-01-20
1696-02-23,1696-01-21
1696-02-24,1696-01-22
1696-02-25,1696-01-23
1696-02-26,1696-01-24
1696-02-27,1696-01-25
1696-02-28,1696-01-26
1696-02-29,1696-01-27
1696-03-01,1696-01-28
1696-03-02,1696-01-29
1696-03-03,1696-02-01
1696-03-04,1696-02-02
1696-03-05,1696-02-03
1696-03-06,1696-02-04
1696-03-07,1696-02-05
1696-03-08,1696-02-06
1696-03-09,1696-02-07
1696-03-10,1696-02-08
1696-03-11,1696-02-09
1696-03-12,1696-02-10
1696-03-13,1696-02-11
1696-03-14,1696-02-12
1696-03-15,1696-02-13
1696-03-16,1696-02-14
1696-03-17,1696-02-15
1696-03-18,1696-02-16
1696-03-19,1696-02-17
1696-03-20,1696-02-18
1696-03-21,1696-02-19
1696-03-22,1696-02-20
1696-03-23,1696-02-21
1696-03-24,1696-02-22
1696-03-25,1696-02-23
1696-03-26,1696-02-24
1696-03-27,1696-02-25
1696-03-28,1696-02-26
1696-03-29,1696-02-27
1696-03-30,1696-02-28
1696-03-31,1696-02-29
1696-04-01,1696-02-30
1696-04-02,1696-03-01
1696-04-03,1696-03-02
1696-04-04,1696-03-03
1696-04-05,1696-03-04
1696-04-06,1696-03-05
1696-04-07,1696-03-06
1696-04-08,1696-03-07
1696-04-09,1696-03-08
1696-04-10,1696-03-09
1696-04-11,1696-03-10
1696-04-12,1696-03-11
1696-04-13,1696-03-12
1696-04-14,1696-03-13
1696-04-15,1696-03-14
1696-04-16,1696-03-15
1696-04-17,1696-03-16
1696-04-18,1696-03-17
1696-04-19,1696-03-18
1696-04-20,1696-03-19
1696-04-21,1696-03-20
1696-04-22,1696-03-21
1696-04-23,1696-03-22
1696-04-24,1696-03-23
1696-04-25,1696-03-24
1696-04-26,1696-03-25
1696-04-27,1696-03-26
1696-04-28,1696-03-27
1696-04-29,1696-03-28
1696-04-30,1696-03-29
1696-05-01,1696-04-01
1696-05-02,1696-04-02
1696-05-03,1696-04-03
1696-05-04,1696-04-04
1696-05-05,1696-04-05
1696-05-06,1696-04-06
1696-05-07,1696-04-07
1696-05-08,1696-04-08
1696-05-09,1696-04-09
1696-05-10,1696-04-10
1696-05-11,1696-04-11
1696-05-12,1696-04-12
1696-05-13,1696-04-13
1696-05-14,1696-04-14
1696-05-15,1696-04-15
1696-05-16,1696-04-16
1696-05-17,1696-04-17
1696-05-18,1696-04-18
1696-05-19,1696-04-19
1696-05-20,1696-04-20
1696-05-21,1696-04-21
1696-05-22,1696-04-22
1696-05-23,1696-04-23
1696-05-24,1696-04-24
1696-05-25,1696-04-25
1696-05-26,1696-04-26
1696-05-27,1696-04-27
1696-05-28,1696-04-28
1696-05-29,1696-04-29
1696-05-30,1696-04-30
1696-05-31,1696-05-01
1696-06-01,1696-05-02
1696-06-02,1696-05-03
1696-06-03,1696-05-04
1696-06-04,1696-05-05
1696-06-05,1696-05-06
1696-06-06,1696-05-07
1696-06-07,1696-05-08
1696-06-08,1696-05-09
1696-06-09,1696-05-10
1696-06-10,1696-05-11
1696-06-11,1696-05-12
1696-06-12,1696-05-13
1696-06-13,1696-05-14
1696-06-14,1696-05-15
1696-06-15,1696-05-16
1696-06-16,1696-05-17
1696-06-17,1696-05-18
1696-06-18,1696-05-19
1696-06-19,1696-05-20
1696-06-20,1696-05-21
1696-06-21,1696-05-22
1696-06-22,1696-05-23
1696-06-23,1696-05-24
1696-06-24,1696-05-25
1696-06-25,1696-05-26
1696-06-26,1696-05-27
1696-06-27,1696-05-28
1696-06-28,1696-05-29
1696-06-29,1696-06-01
1696-06-30,1696-06-02
1696-07-01,1696-06-03
1696-07-02,1696-06-04
1696-07-03,1696-06-05
1696-07-04,1696-06-06
1696-07-05,1696-06-07
1696-07-06,1696-06-08
1696-07-07,1696-06-09
1696-07-08,1696-06-10
1696-07-09,1696-06-11
1696-07-10,1696-06-12
1696-07-11,1696-06-13
1696-07-12,1696-06-14
1696-07-13,1696-06-15
1696-07-14,1696-06-16
1696-07-15,1696-06-17
1696-07-16,1696-06-18
1696-07-17,1696-06-19
1696-07-18,1696-06-20
1696-07-19,1696-06-21
1696-07-20,1696-06-22
1696-07-21,1696-06-23
1696-07-22,1696-06-24
1696-07-23,1696-06-25
1696-07-24,1696-06-26
1696-07-25,1696-06-27
1696-07-26,1696-06-28
1696-07-27,1696-06-29
1696-07-28,1696-06-30
1696-07-29,1696-07-01
1696-07-30,1696-07-02
1696-07-31,1696-07-03
1696-08-01,1696-07-04
1696-08-02,1696-07-05
1696-08-03,1696-07-06
1696-08-04,1696-07-07
1696-08-05,1696-07-08
1696-08-06,1696-07-09
1696-08-07,1696-07-10
1696-08-08,1696-07-11
1696-08-09,1696-07-12
1696-08-10,1696-07-13
1696-08-11,1696-07-14
1696-08-12,1696-07-15
1696-08-13,1696-07-16
1696-08-14,1696-07-17
1696-08-15,1696-07-18
1696-08-16,1696-07-19
1696-08-17,1696-07-20
1696-08-18,1696-07-21
1696-08-19,1696-07-22
1696-08-20,1696-07-23
1696-08-21,1696-07-24
1696-08-22,1696-07-25
1696-08-23,1696-07-26
1696-08-24,1696-07-27
1696-08-25,1696-07-28
1696-08-26,1696-07-29
1696-08-27,1696-08-01
1696-08-28,1696-08-02
1696-08-29,1696-08-03
1696-08-30,1696-08-04
1696-08-31,1696-08-05
1696-09-01,1696-08-06
1696-09-02,1696-08-07
1696-09-03,1696-08-08
1696-09-04,1696-08-09
1696-09-05,1696-08-10
1696-09-06,1696-08-11
1696-09-07,1696-08-12
1696-09-08,1696-08-13
1696-09-09,1696-08-14
1696-09-10,1696-08-15
1696-09-11,1696-08-16
1696-09-12,1696-08-17
1696-09-13,1696-08-18
1696-09-14,1696-08-19
1696-09-15,1696-08-20
1696-09-16,1696-08-21
1696-09-17,1696-08-22
1696-09-18,1696-08-23
1696-09-19,1696-08-24
1696-09-20,1696-08-25
1696-09-21,1696-08-26
1696-09-22,1696-08-27
1696-09-23,1696-08-28
1696-09-24,1696-08-29
1696-09-25,1696-08-30
1696-09-26,1696-09-01
1696-09-27,1696-09-02
1696-09-28,1696-09-03
1696-09-29,1696-09-04
1696-09-30,1696-09-05
1696-10-01,1696-09-06
1696-10-02,1696-09-07
1696-10-03,1696-09-08
1696-10-04,1696-09-09
1696-10-05,1696-09-10
1696-10-06,1696-09-11
1696-10-07,1696-09-12
1696-10-08,1696-09-13
1696-10-09,1696-09-14
1696-10-10,1696-09-15
1696-10-11,1696-09-16
1696-10-12,1696-09-17
1696-10-13,1696-09-18
1696-10-14,1696-09-19
1696-10-15,1696-09-20
1696-10-16,1696-09-21
1696-10-17,1696-09-22
1696-10-18,1696-09-23
1696-10-19,1696-09-24
1696-10-20,1696-09-25
1696-10-21,1696-09-26
1696-10-22,1696-09-27
1696-10-23,1696-09-28
1696-10-24,1696-09-29
1696-10-25,1696-09-30
1696-10-26,1696-10-01
1696-10-27,1696-10-02
1696-10-28,1696-10-03
1696-10-29,1696-10-04
1696-10-30,1696-10-05
1696-10-31,1696-10-06
1696-11-01,1696-10-07
1696-11-02,1696-10-08
1696-11-03,1696-10-09
1696-11-04,1696-10-10
1696-11-05,1696-10-11
1696-11-06,1696-10-12
1696-11-07,1696-10-13
1696-11-08,1696-10-14
1696-11-09,1696-10-15
1696-11-10,1696-10-16
1696-11-11,1696-10-17
1696-11-12,1696-10-18
1696-11-13,1696-10-19
1696-11-14,1696-10-20
1696-11-15,1696-10-21
1696-11-16,1696-10-22
1696-11-17,1696-10-23
1696-11-18,1696-10-24
1696-11-19,1696-10-25
1696-11-20,1696-10-26
1696-11-21,1696-10-27
1696-11-22,1696-10-28
1696-11-23,1696-10-29
1696-11-24,1696-10-30
1696-11-25,1696-11-01
1696-11-26,1696-11-02
1696-11-27,1696-11-03
1696-11-28,1696-11-04
1696-11-29,1696-11-05
1696-11-30,1696-11-06
1696-12-01,1696-11-07
1696-12-02,1696-11-08
1696-12-03,1696-11-09
1696-12-04,1696-11-10
1696-12-05,1696-11-11
1696-12-06,1696-11-12
1696-12-07,1696-11-13
1696-12-08,1696-11-14
1696-12-09,1696-11-15
1696-12-10,1696-11-16
1696-12-11,1696-11-17
1696-12-12,1696-11-18
1696-12-13,1696-11-19
1696-12-14,1696-11-20
1696-12-15,1696-11-21
1696-12-16,1696-11-22
1696-12-17,1696-11-23
1696-12-18,1696-11-24
1696-12-19,1696-11-25
1696-12-20,1696-11-26
1696-12-21,1696-11-27
1696-12-22,1696-11-28
1696-12-23,1696-11-29
1696-12-24,1696-12-01
1696-12-25,1696-12-02
1696-12-26,1696-12-03
1696-12-27,1696-12-04
1696-12-28,1696-12-05
1696-12-29,1696-12-06
1696-12-30,1696-12-07
1696-12-31,1696-12-08
1697-01-01,1696-12-09
1697-01-02,1696-12-10
1697-01-03,1696-12-11
1697-01-04,1696-12-12
1697-01-05,1696-12-13
1697-01-06,1696-12-14
1697-01-07,1696-12-15
1697-01-08,1696-12-16
1697-01-09,1696-12-17
1697-01-10,1696-12-18
1697-01-11,1696-12-19
1697-01-12,1696-12-20
1697-01-13,1696-12-21
1697-01-14,1696-12-22
1697-01-15,1696-12-23
1697-01-16,1696-12-24
1697-01-17,1696-12-25
1697-01-18,1696-12-26
1697-01-19,1696-12-27
1697-01-20,1696-12-28
1697-01-21,1696-12-29
1697-01-22,1696-12-30
1697-01-23,1697-01-01
1697-01-24,1697-01-02
1697-01-25,1697-01-03
1697-01-26,1697-01-04
1697-01-27,1697-01-05
1697-01-28,1697-01-06
1697-01-29,1697-01-07
1697-01-30,1697-01-08
1697-01-31,1697-01-09
1697-02-01,1697-01-10
1697-02-02,1697-01-11
1697-02-03,1697-01-12
1697-02-04,1697-01-13
1697-02-05,1697-01-14
1697-02-06,1697-01-15
1697-02-07,1697-01-16
1697-02-08,1697-01-17
1697-02-09,1697-01-18
1697-02-10,1697-01-19
1697-02-11,1697-01-20
1697-02-12,1697-01-21
1697-02-13,1697-01-22
1697-02-14,1697-01-23
1697-02-15,1697-01-24
1697-02-16,1697-01-25
1697-02-17,1697-01-26
1697-02-18,1697-01-27
1697-02-19,1697-01-28
1697-02-20,1697-01-29
1697-02-21,1697-02-01
1697-02-22,1697-02-02
1697-02-23,1697-02-03
1697-02-24,1697-02-04
1697-02-25,1697-02-05
1697-02-26,1697-02-06
1697-02-27,1697-02-07
1697-02-28,1697-02-08
1697-03-01,1697-02-09
1697-03-02,1697-02-10
1697-03-03,1697-02-11
1697-03-04,1697-02-12
1697-03-05,1697-02-13
1697-03-06,1697-02-14
1697-03-07,1697-02-15
1697-03-08,1697-02-16
1697-03-09,1697-02-17
1697-03-10,1697-02-18
1697-03-11,1697-02-19
1697-03-12,1697-02-20
1697-03-13,1697-02-21
1697-03-14,1697-02-22
1697-03-15,1697-02-23
1697-03-16,1697-02-24
1697-03-17,1697-02-25
1697-03-18,1697-02-26
1697-03-19,1697-02-27
1697-03-20,1697-02-28
1697-03-21,1697-02-29
1697-03-22,1697-02-30
1697-03-23,1697-03-01
1697-04-21,1697-03-01
1697-03-24,1697-03-02
1697-04-22,1697-03-02
1697-03-25,1697-03-03
1697-04-23,1697-03-03
1697-03-26,1697-03-04
1697-04-24,1697-03-04
1697-03-27,1697-03-05
1697-04-25,1697-03-05
1697-03-28,1697-03-06
1697-04-26,1697-03-06
1697-03-29,1697-03-07
1697-04-27,1697-03-07
1697-03-30,1697-03-08
1697-04-28,1697-03-08
1697-03-31,1697-03-09
1697-04-29,1697-03-09
1697-04-01,1697-03-10
1697-04-30,1697-03-10
1697-04-02,1697-03-11
1697-05-01,1697-03-11
1697-04-03,1697-03-12
1697-05-02,1697-03-12
1697-04-04,1697-03-13
1697-05-03,1697-03-13
1697-04-05,1697-03-14
1697-05-04,1697-03-14
1697-04-06,1697-03-15
1697-05-05,1697-03-15
1697-04-07,1697-03-16
1697-05-06,1697-03-16
1697-04-08,1697-03-17
1697-05-07,1697-03-17
1697-04-09,1697-03-18
1697-05-08,1697-03-18
1697-04-10,1697-03-19
1697-05-09,1697-03-19
1697-04-11,1697-03-20
1697-05-10,1697-03-20
1697-04-12,1697-03-21
1697-05-11,1697-03-21
1697-04-13,1697-03-22
1697-05-12,1697-03-22
1697-04-14,1697-03-23
1697-05-13,1697-03-23
1697-04-15,1697-03-24
1697-05-14,1697-03-24
1697-04-16,1697-03-25
1697-05-15,1697-03-25
1697-04-17,1697-03-26
1697-05-16,1697-03-26
1697-04-18,1697-03-27
1697-05-17,1697-03-27
1697-04-19,1697-03-28
1697-05-18,1697-03-28
1697-04-20,1697-03-29
1697-05-19,1697-03-29
1697-05-20,1697-04-01
1697-05-21,1697-04-02
1697-05-22,1697-04-03
1697-05-23,1697-04-04
1697-05-24,1697-04-05
1697-05-25,1697-04-06
1697-05-26,1697-04-07
1697-05-27,1697-04-08
1697-05-28,1697-04-09
1697-05-29,1697-04-10
1697-05-30,1697-04-11
1697-05-31,1697-04-12
1697-06-01,1697-04-13
1697-06-02,1697-04-14
1697-06-03,1697-04-15
1697-06-04,1697-04-16
1697-06-05,1697-04-17
1697-06-06,1697-04-18
1697-06-07,1697-04-19
1697-06-08,1697-04-20
1697-06-09,1697-04-21
1697-06-10,1697-04-22
1697-06-11,1697-04-23
1697-06-12,1697-04-24
1697-06-13,1697-04-25
1697-06-14,1697-04-26
1697-06-15,1697-04-27
1697-06-16,1697-04-28
1697-06-17,1697-04-29
1697-06-18,1697-04-30
1697-06-19,1697-05-01
1697-06-20,1697-05-02
1697-06-21,1697-05-03
1697-06-22,1697-05-04
1697-06-23,1697-05-05
1697-06-24,1697-05-06
1697-06-25,1697-05-07
1697-06-26,1697-05-08
1697-06-27,1697-05-09
1697-06-28,1697-05-10
1697-06-29,1697-05-11
1697-06-30,1697-05-12
1697-07-01,1697-05-13
1697-07-02,1697-05-14
1697-07-03,1697-05-15
1697-07-04,1697-05-16
1697-07-05,1697-05-17
1697-07-06,1697-05-18
1697-07-07,1697-05-19
1697-07-08,1697-05-20
1697-07-09,1697-05-21
1697-07-10,1697-05-22
1697-07-11,1697-05-23
1697-07-12,1697-05-24
1697-07-13,1697-05-25
1697-07-14,1697-05-26
1697-07-15,1697-05-27
1697-07-16,1697-05-28
1697-07-17,1697-05-29
1697-07-18,1697-06-01
1697-07-19,1697-06-02
1697-07-20,1697-06-03
1697-07-21,1697-06-04
1697-07-22,1697-06-05
1697-07-23,1697-06-06
1697-07-24,1697-06-07
1697-07-25,1697-06-08
1697-07-26,1697-06-09
1697-07-27,1697-06-10
1697-07-28,1697-06-11
1697-07-29,1697-06-12
1697-07-30,1697-06-13
1697-07-31,1697-06-14
1697-08-01,1697-06-15
1697-08-02,1697-06-16
1697-08-03,1697-06-17
1697-08-04,1697-06-18
1697-08-05,1697-06-19
